"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"57","594693","70","1","Jamaica Plain","93","strict","Apartment","1"
"58","2384581","95","0.93","Jamaica Plain","93","flexible","House","1"
"59","735970","55",NULL,"Jamaica Plain","100","flexible","Bed & Breakfast","1"
"60","4262255","80","1","Jamaica Plain","99","moderate","Apartment","1"
"61","4000384","120","0.7","Jamaica Plain","97","flexible","House","1"
"62","6693305","65","1","Jamaica Plain","100","flexible","Apartment","1"
"63","6730758","100","1","Jamaica Plain","97","moderate","Apartment","1"
"64","6248970","65","1","Jamaica Plain","96","moderate","Apartment","1"
"66","14246616","63","0.36","Jamaica Plain","73","flexible","Apartment","1"
"67","3703674","75","1","Jamaica Plain","100","flexible","Townhouse","1"
"68","4792901","65",NULL,"Jamaica Plain","90","strict","House","1"
"69","5717528","110","1","Jamaica Plain","94","strict","Apartment","1"
"70","5601743","46","0.73","Jamaica Plain","82","strict","House","1"
"72","519272","62",NULL,"Jamaica Plain","98","moderate","Apartment","1"
"74","8481291","69",NULL,"Jamaica Plain","100","moderate","Apartment","1"
"75","6990904","73","0.5","Jamaica Plain","99","moderate","House","1"
"76","197727","85","1","Jamaica Plain","99","strict","Apartment","1"
"77","932853","120","1","Jamaica Plain","96","strict","Apartment","1"
"78","11159585","125","1","Jamaica Plain","100","flexible","House","1"
"79","9677354","70","0.6","Jamaica Plain","93","flexible","Apartment","1"
"81","7956634","61","0.67","Jamaica Plain","97","moderate","Condominium","1"
"82","568234","125","1","Jamaica Plain","97","strict","House","1"
"83","1030500","100","1","Jamaica Plain","88","flexible","Apartment","1"
"85","12930651","80","0.9","Jamaica Plain","98","flexible","Apartment","1"
"86","3997572","85","1","Jamaica Plain","100","flexible","House","1"
"87","4223387","75","1","Jamaica Plain","91","flexible","House","1"
"88","12855396","57","0.78","Jamaica Plain","20","flexible","House","1"
"91","2963419","100","0.67","Jamaica Plain","98","strict","House","1"
"92","5904732","70","1","Jamaica Plain","93","flexible","House","1"
"93","3591359","190","1","Jamaica Plain","95","moderate","Apartment","2"
"94","2538536","149","0.86","Jamaica Plain","95","flexible","Apartment","1"
"95","4975581","168","0.9","Jamaica Plain","94","moderate","Apartment","2"
"96","4767023","205","1","Jamaica Plain","87","moderate","House","3"
"97","6364042","65","1","Jamaica Plain","92","flexible","House","1"
"98","7986179","75","0.8","Jamaica Plain","92","flexible","Apartment","1"
"100","1109224","429","1","Jamaica Plain","91","strict","Apartment","4"
"101","1067184","95","0.9","Jamaica Plain","95","flexible","Apartment","1"
"103","777903","85","0.9","Jamaica Plain","94","moderate","House","1"
"104","1301500","69","1","Jamaica Plain","100","strict","Apartment","1"
"105","8923817","165","1","Jamaica Plain","93","flexible","House","1"
"106","14057466","150","1","Jamaica Plain","90","flexible","Apartment","2"
"108","5521378","87","1","Jamaica Plain","97","moderate","Apartment","1"
"109","13041602","62","1","Jamaica Plain","96","strict","Townhouse","1"
"110","2621242","110",NULL,"Jamaica Plain","97","moderate","Apartment","1"
"111","950046","250","1","Jamaica Plain","90","strict","Apartment","3"
"112","3342094","150","1","Jamaica Plain","97","strict","Apartment","2"
"113","5652147","300","1","Jamaica Plain","93","flexible","House","3"
"114","14105971","119","1","Jamaica Plain","100","strict","Apartment","0"
"115","2875267","175","1","Jamaica Plain","99","moderate","Apartment","0"
"116","9485607","195","1","Jamaica Plain","96","strict","House","2"
"117","7273770","145","1","Jamaica Plain","90","strict","Condominium","2"
"118","5405928","200","1","Jamaica Plain","92","moderate","Apartment","2"
"119","4586681","90","1","Jamaica Plain","99","flexible","House","1"
"120","1113272","210","1","Jamaica Plain","94","moderate","Apartment","2"
"121","12647606","75","0.9","Jamaica Plain","100","moderate","Apartment","1"
"122","10271867","46","1","Jamaica Plain","90","flexible","Apartment","1"
"123","7879708","75","0.96","Jamaica Plain","100","flexible","Condominium","1"
"124","3881993","500","1","Jamaica Plain","89","flexible","Apartment","3"
"125","12566065","60","0.4","Jamaica Plain","90","strict","Apartment","1"
"126","6602217","130","1","Jamaica Plain","90","moderate","Apartment","1"
"127","3276286","190","1","Jamaica Plain","88","moderate","Apartment","2"
"128","2014651","100","1","Jamaica Plain","91","moderate","Apartment","1"
"129","6053700","450","0","Jamaica Plain","100","flexible","House","3"
"130","4405982","399","1","Jamaica Plain","99","strict","Apartment","4"
"131","250983","350","0.94","Jamaica Plain","98","moderate","Apartment","2"
"132","2308630","200","1","Jamaica Plain","98","moderate","Apartment","2"
"133","8272350","99",NULL,"Jamaica Plain","100","moderate","Apartment","1"
"135","4098410","107","1","Jamaica Plain","81","flexible","Apartment","1"
"136","6322283","69","0.8","Jamaica Plain","96","moderate","Apartment","1"
"137","7823025","76","1","Jamaica Plain","92","strict","Apartment","1"
"138","9549850","75","1","Jamaica Plain","95","moderate","Apartment","1"
"139","7845607","55","0.9","Jamaica Plain","78","flexible","House","1"
"140","14071446","65","1","Jamaica Plain","100","flexible","Apartment","1"
"142","11826815","88","1","Jamaica Plain","96","moderate","House","1"
"144","4765070","90","1","Jamaica Plain","93","moderate","House","0"
"145","2880944","185","1","Jamaica Plain","100","flexible","Apartment","2"
"147","10253591","105","0.92","Jamaica Plain","91","strict","House","1"
"148","1881298","90","1","Jamaica Plain","95","moderate","House","1"
"149","210097","100","1","Jamaica Plain","97","strict","Apartment","1"
"150","6059968","100","1","Jamaica Plain","98","strict","Apartment","1"
"151","6862758","200","1","Jamaica Plain","100","strict","Apartment","2"
"152","799701","300","0.9","Jamaica Plain","100","strict","Apartment","4"
"154","9057435","319","1","Jamaica Plain","100","moderate","Apartment","3"
"155","750438","85","1","Jamaica Plain","96","moderate","Apartment","1"
"156","12874603","70","0.5","Jamaica Plain","74","flexible","Condominium","1"
"157","12727401","50",NULL,"Jamaica Plain","60","flexible","Apartment","1"
"158","2077794","119","1","Jamaica Plain","86","moderate","Apartment","1"
"159","9712731","125","1","Jamaica Plain","100","strict","Condominium","1"
"160","13677640","53","0.7","Jamaica Plain","80","flexible","Apartment","1"
"161","3371091","125","1","Jamaica Plain","95","strict","Apartment","1"
"162","13512551","199","1","Jamaica Plain","100","strict","House","4"
"163","732999","205","1","Jamaica Plain","97","strict","Apartment","2"
"164","6106955","114","1","Jamaica Plain","95","strict","Condominium","2"
"165","2698996","75","1","Jamaica Plain","98","moderate","Apartment","1"
"166","27611","185","1","Jamaica Plain","86","strict","Apartment","1"
"167","4025194","75","1","Jamaica Plain","97","flexible","Apartment","1"
